beta,corr len
0.1,0.1419107374055678
0.114,0.13912866728680562
0.128,0.1825822321068477
0.142,0.20910268032134088
0.156,0.23926534265719232
0.17,0.2638316756674358
0.184,0.29508200553496533
0.198,0.33071769383210015
0.212,0.4077590354326891
0.226,0.404070709067303
0.24,0.46850641295413714
0.254,0.5686845804064804
0.268,0.6977774005047264
0.282,0.8019834131378826
0.296,0.8761941783762182
0.31,1.0725624194766288
0.324,1.4460939006579328
0.338,1.5534466010358834
0.352,5.788414243253547
0.366,2.493161546544722
0.38,2.040533691492718
0.394,131.89365714420802
0.408,2.4111639776307854
0.422,1.5488252015188384
0.436,1.763684716663281
0.45,0.8517725655522902
0.464,0.5774730022247353
0.478,0.4546309503678999
0.492,0.2991152114003187
0.506,0.21374779261343899
0.52,0.16138652074419776
0.534,0.13397978811020939
0.548,0.10675081853293884
0.562,0.08950333898170218
0.576,0.06338337062465983
0.59,0.053259650407626286
0.604,0.039183362771628795
0.618,0.029073302967119224
0.632,0.019829738571156347
0.646,0.01748429623016111
0.66,0.01484331640305999
0.674,0.01068349112391091
0.688,0.00769467326239124
0.702,0.00601242459922794
0.716,0.004719030956392258
0.73,0.0037828972402483845
0.744,0.002494429590043426
0.758,0.002429882662922959
0.772,0.0021971102525889246
0.786,0.0007715863122132626
0.8,0.00041599791171429166
