beta,mean energy,mean mag,mean sq energy,mean sq mag
0.386,-4239.049597592101,0.0765780862794141,1.7989267760173377e7,0.009157134226298077
0.388,-4278.6947503928095,0.0791549543946505,1.8327219578996796e7,0.009777369463092619
0.39,-4319.182721995092,0.08181659335950014,1.8675646885465395e7,0.01044696444851461
0.392,-4359.981673196289,0.0847499819337246,1.9030067212594226e7,0.011193522480247575
0.394,-4401.508822398002,0.08784231347666845,1.9394226975716494e7,0.012023857541308813
0.396,-4443.732981599707,0.09113741157238608,1.976804076654425e7,0.012937305849641699
0.398,-4486.656638399984,0.09502196806649757,2.0151766373278063e7,0.014040977640542605
0.4,-4530.5004928017615,0.09914685219736513,2.054749094322852e7,0.015269808412621929
0.402,-4575.222334002596,0.10381928066416855,2.0955119176039107e7,0.01672697452469044
0.404,-4620.240082802257,0.1086687336914995,2.1369530895159267e7,0.01831843668410766
0.406,-4667.033784402502,0.11451660844737113,2.1804586450404108e7,0.020274532720113588
0.408,-4714.109723602905,0.12032664804695163,2.2246736152590513e7,0.022327431448706705
0.41,-4762.3885404026,0.1273424061524278,2.2704774940538455e7,0.024970231749511802
0.412,-4811.545901201008,0.13518236928718977,2.3176019515971247e7,0.028058912358047375
0.414,-4862.630672399524,0.14453036616218726,2.3670929409150496e7,0.031891402897459335
0.416,-4915.061377197032,0.15551324594731228,2.4184314579481706e7,0.03671965603184503
0.418,-4968.762395993656,0.16748769985357162,2.471590643781108e7,0.042284646497868505
0.42,-5023.99689039083,0.18159649311529058,2.5268947492003303e7,0.04937738466889053
0.422,-5082.247429591047,0.19907568378912344,2.5858906520366877e7,0.0586008036971302
0.424,-5143.394724791205,0.2202969247559079,2.6485749702004135e7,0.07054382559115496
0.426,-5207.529699193305,0.2451384715332203,2.7151480099200655e7,0.08577790276069602
0.428,-5275.780567196047,0.27657008979500197,2.78694382898111e7,0.10633150041328703
0.43,-5350.199784801195,0.31464185786148474,2.8663225418168087e7,0.13302099091631486
0.432,-5430.617321607823,0.36066923701193226,2.953349683385192e7,0.1676380727903426
0.434,-5516.6823652124485,0.4114339944826814,3.0478847139126856e7,0.20878622399245805
0.436,-5609.788295216253,0.47009011362337594,3.151697478644655e7,0.2592612386061095
0.438,-5705.888369618982,0.5295374892093914,3.260494453803953e7,0.31426856371644785
0.44,-5800.861097619379,0.5833252354008704,3.3696910567668006e7,0.3685260453288101
0.442,-5892.548306818412,0.631246778662653,3.476656179269919e7,0.41975971170603615
0.444,-5978.4534820155595,0.6713942294926682,3.5782956665065095e7,0.465791864888065
0.446,-6055.57766001265,0.7013099860842904,3.6708248806598656e7,0.5028224274397687
0.448,-6129.681405207892,0.728038263769476,3.760809314686249e7,0.5376204584332577
0.45,-6197.805587201429,0.7495956561029092,3.844519488481107e7,0.5669770952244738
0.452,-6259.745261594398,0.7661377249500824,3.92148045544852e7,0.5908564150327479
0.454,-6318.982046389398,0.7810976981428837,3.995805673691123e7,0.6129504745226709
0.456,-6374.372925184027,0.7937133554668154,4.0659593121308774e7,0.6322122105934386
0.458,-6426.628988380171,0.8047437802223402,4.132702799124382e7,0.6493954242707375
0.46,-6476.4467331786,0.8145579784156085,4.196860837041089e7,0.6649649957147701
0.462,-6524.066076776072,0.82356068578869,4.258657670645872e7,0.6794658782203078
0.464,-6569.404167173373,0.8316028987283298,4.317920203105951e7,0.6926043307820157
0.466,-6612.448878772889,0.8389488244610825,4.374567403974816e7,0.7047317210842765
0.468,-6654.061751972675,0.845718847703644,4.429685948978552e7,0.7160216687444693
0.47,-6693.9015719731815,0.851992082616116,4.482784041674626e7,0.7265786149960795
0.472,-6732.280524773435,0.857822227001284,4.534238483570492e7,0.7364698387101337
0.474,-6768.996728373863,0.8631991768552937,4.583742688374219e7,0.7456615240222625
0.476,-6804.511225577258,0.8682661094241643,4.631882306693423e7,0.7543787426528332
0.478,-6838.852680778282,0.8730502311529893,4.67867238090607e7,0.7626620590382318
0.48,-6871.9863855811545,0.8775262995615734,4.724044966925965e7,0.7704573423597678
0.482,-6903.816354782679,0.8817279193373639,4.767839304611022e7,0.7778135128157778
0.484,-6934.718471985852,0.8857145262712811,4.81055206966969e7,0.7848293571283995
0.486,-6964.778037588026,0.8895125136738005,4.852283794427642e7,0.7915445758339424
