beta,corr len
0.372,Inf
0.374,Inf
0.376,Inf
0.378,Inf
0.38,Inf
0.382,Inf
0.384,Inf
0.386,Inf
0.388,Inf
0.39,Inf
0.392,Inf
0.394,Inf
0.396,Inf
0.398,Inf
0.4,Inf
0.402,Inf
0.404,Inf
0.406,Inf
0.408,Inf
0.41,Inf
0.412,Inf
0.414,Inf
0.416,Inf
0.418,Inf
0.42,Inf
0.422,Inf
0.424,Inf
0.426,Inf
0.428,Inf
0.43,Inf
0.432,Inf
0.434,Inf
0.436,Inf
0.438,Inf
0.44,Inf
0.442,Inf
0.444,Inf
0.446,Inf
0.448,Inf
0.45,Inf
0.452,Inf
0.454,Inf
0.456,Inf
0.458,Inf
0.46,Inf
0.462,Inf
0.464,Inf
0.466,Inf
0.468,Inf
0.47,Inf
0.472,Inf
